rank,world_id,avg_time,avg_nav_metric,avg_optimal_time,avg_path_length,success_rate,num_episodes,running_count,running_percentage,timeout_count,timeout_percentage,success_count,success_percentage
141,169,9.9526,0.475,7.947794994798985,10.898085115194196,95.0,20,1.0,5.0,,,19.0,95.0
142,40,9.880599999999998,0.44632101484570386,7.916066391912942,10.977898697115814,90.0,20,2.0,10.0,,,18.0,90.0
143,238,9.8566,0.4972794795051499,8.512989118917755,12.06815742042017,100.0,20,,,,,20.0,100.0
144,0,9.841299999999999,0.425,8.558028082848947,12.122209000790514,85.0,20,3.0,15.0,,,17.0,85.0
145,90,9.774899999999999,0.425,8.915313973228162,12.913623146424817,85.0,20,3.0,15.0,,,17.0,85.0
146,200,9.745599999999994,0.425,8.629507223633505,12.307102900807735,85.0,20,3.0,15.0,,,17.0,85.0
147,103,9.592099999999999,0.5,8.957754143673561,12.99850348731562,100.0,20,,,,,20.0,100.0
148,82,9.501399999999999,0.425,8.958164793488972,13.093456187772864,85.0,20,3.0,15.0,,,17.0,85.0
149,211,9.500799999999995,0.4,7.835101179481681,10.787198403885899,80.0,20,4.0,20.0,,,16.0,80.0
150,271,9.363100000000001,0.45,7.872132409090921,10.890030731471775,90.0,20,2.0,10.0,,,18.0,90.0
151,229,9.356599999999997,0.425,9.3331780924485,13.727351996332876,85.0,20,3.0,15.0,,,17.0,85.0
152,242,9.347299999999999,0.425,7.789830031315001,10.585812897722622,85.0,20,3.0,15.0,,,17.0,85.0
153,106,9.3028,0.475,7.976636803178235,11.277770787503517,95.0,20,1.0,5.0,,,19.0,95.0
154,39,9.278699999999995,0.44846082887661715,8.383492590770382,11.977865820534197,90.0,20,2.0,10.0,,,18.0,90.0
155,168,9.277400000000002,0.475,8.734100236381485,12.52919628419884,95.0,20,1.0,5.0,,,19.0,95.0
156,209,9.270000000000003,0.41516847125138917,8.877499484588023,12.781688174925359,85.0,20,3.0,15.0,,,17.0,85.0
157,175,9.2092,0.470585127365825,7.976736854257179,10.984948590305134,95.0,20,1.0,5.0,,,19.0,95.0
158,76,9.1633,0.5,8.134191097866879,11.27087732132998,100.0,20,,,,,20.0,100.0
159,33,9.159600000000001,0.4704398476903139,8.084455348965786,11.25190589790007,95.0,20,1.0,5.0,,,19.0,95.0
160,79,9.138300000000001,0.5,7.915242509478984,10.891480830393842,100.0,20,,,,,20.0,100.0
161,155,9.134699999999999,0.42244580032809703,7.830441902459943,10.777879849842426,85.0,20,3.0,15.0,,,17.0,85.0
162,234,9.125100000000002,0.47397980854283067,8.11284882621047,11.257172534211724,95.0,20,1.0,5.0,,,19.0,95.0
163,195,9.0696,0.5,8.916531319830002,12.978828552949931,100.0,20,,,,,20.0,100.0
164,298,9.015099999999997,0.4649025193912828,7.998182157301493,11.06434728443202,95.0,20,1.0,5.0,,,19.0,95.0
165,146,8.960599999999998,0.375,8.03484231940457,11.069735607256668,75.0,20,5.0,25.0,,,15.0,75.0
166,152,8.911299999999999,0.45,8.057859296533934,11.223733688261321,90.0,20,2.0,10.0,,,18.0,90.0
167,261,8.813300000000002,0.5,7.798286266619084,10.628047415028954,100.0,20,,,,,20.0,100.0
168,205,8.8018,0.425,8.141008348730391,11.290602346106846,85.0,20,3.0,15.0,,,17.0,85.0
169,57,8.6367,0.475,8.325250746080224,11.656654327253069,95.0,20,1.0,5.0,,,19.0,95.0
170,289,8.577700000000002,0.41124428488328163,7.884942331552405,10.77847031175088,85.0,20,3.0,15.0,,,17.0,85.0
171,52,8.5632,0.5,8.908826053052016,13.102417879613196,100.0,20,,,,,20.0,100.0
172,156,8.4686,0.4,8.133650292117398,11.2939897899841,80.0,20,4.0,20.0,,,16.0,80.0
173,35,8.433299999999997,0.49135757617849124,8.05708772247761,11.175171256391092,100.0,20,,,,,20.0,100.0
174,256,8.3166,0.425,7.764255277374166,10.537096203394395,85.0,20,3.0,15.0,,,17.0,85.0
175,193,8.276799999999998,0.4437271925985356,8.22835388394457,11.488182649679914,90.0,20,2.0,10.0,,,18.0,90.0
176,142,8.261099999999999,0.4,7.850464282154265,10.702202181163608,80.0,20,4.0,20.0,,,16.0,80.0
177,194,8.257600000000002,0.5,7.826091316401349,10.653456249657776,100.0,20,,,,,20.0,100.0
178,158,8.213999999999999,0.4,8.18513088515393,11.478276865501307,80.0,20,4.0,20.0,,,16.0,80.0
179,227,8.1225,0.5,7.656298148557262,10.315091422710747,100.0,20,,,,,20.0,100.0
180,159,8.092699999999995,0.475,8.460411962681121,12.06658983865217,95.0,20,1.0,5.0,,,19.0,95.0
181,130,8.0727,0.475,7.900807679780632,10.807768194653883,95.0,20,1.0,5.0,,,19.0,95.0
182,235,7.977599999999997,0.5,8.095851906539133,11.20028946172433,100.0,20,,,,,20.0,100.0
183,182,7.9762999999999975,0.5,7.9530316074211,10.90611418328972,100.0,20,,,,,20.0,100.0
184,63,7.953999999999998,0.5,8.142136090349759,11.332360634240242,100.0,20,,,,,20.0,100.0
185,129,7.950799999999999,0.475,8.851038501681012,12.879203604156938,95.0,20,1.0,5.0,,,19.0,95.0
